고객ID,성별,고객지역,가입기간
USER_1037,여,New York,33
USER_1459,남,New York,20
USER_0556,여,Chicago,26
USER_0225,여,California,4
USER_0499,남,New Jersey,4
USER_0632,여,New Jersey,8
USER_0682,남,California,46
USER_0115,남,New York,42
USER_0935,여,Washington DC,34
USER_1279,여,New York,44
USER_0465,여,Chicago,18
USER_1391,여,California,10
USER_0555,남,California,40
USER_1169,여,California,45
USER_1240,여,California,13
USER_0457,여,California,25
USER_0170,여,New York,34
USER_0097,남,Chicago,30
USER_0582,남,California,26
USER_0719,남,New York,40
USER_1454,여,New Jersey,28
USER_0274,남,Washington DC,41
USER_1101,여,Washington DC,37
USER_0300,여,Chicago,19
USER_0140,여,California,19
USER_1111,여,New York,33
USER_0023,여,New York,37
USER_1394,여,Chicago,6
USER_1104,남,Chicago,12
USER_0559,여,New York,48
USER_0583,여,California,37
USER_1371,여,Chicago,37
USER_0060,남,New York,50
USER_0423,남,Chicago,41
USER_0183,남,Chicago,13
USER_0456,여,New York,18
USER_1000,여,Washington DC,50
USER_0071,남,New York,39
USER_0903,남,New York,31
USER_1387,여,New Jersey,15
USER_0127,여,California,28
USER_1118,남,California,48
USER_1341,남,California,8
USER_0095,여,Chicago,33
USER_0594,남,Chicago,4
USER_1390,여,New York,22
USER_1351,남,Chicago,13
USER_0103,남,Chicago,37
USER_0755,남,Washington DC,24
USER_0932,여,California,34
USER_1180,여,New York,18
USER_1195,여,Chicago,20
USER_0131,여,Chicago,39
USER_0842,여,Chicago,25
USER_0500,남,New Jersey,9
USER_0640,여,California,25
USER_0107,여,New Jersey,48
USER_1062,여,Chicago,48
USER_0013,여,New Jersey,10
USER_0995,여,Chicago,23
USER_0200,여,New York,5
USER_0792,여,California,39
USER_1197,남,Chicago,9
USER_0773,여,Chicago,14
USER_0830,여,Chicago,49
USER_0202,여,New Jersey,25
USER_0908,여,Chicago,48
USER_0369,여,California,5
USER_0746,여,Washington DC,29
USER_1415,여,Washington DC,18
USER_0666,여,California,37
USER_1430,여,New York,9
USER_0197,여,New York,38
USER_0952,남,New York,34
USER_0620,남,Chicago,21
USER_1092,여,New York,10
USER_0940,남,Washington DC,24
USER_1121,여,New Jersey,37
USER_1087,남,California,22
USER_0255,여,California,41
USER_0623,여,New York,32
USER_0062,여,Washington DC,23
USER_1150,남,Chicago,44
USER_0741,여,California,30
USER_0622,남,California,21
USER_0975,남,Washington DC,6
USER_1433,남,Chicago,24
USER_0367,여,California,35
USER_0299,남,New Jersey,30
USER_1343,여,Washington DC,5
USER_0832,여,Chicago,2
USER_1440,여,California,26
USER_0713,여,California,7
USER_1130,여,New York,21
USER_1149,남,California,24
USER_0971,남,California,44
USER_1182,여,Chicago,29
USER_1142,남,California,23
USER_0799,여,New Jersey,34
USER_0870,여,New York,33
USER_1059,여,California,39
USER_0850,여,California,6
USER_1361,남,Chicago,34
USER_0982,여,Chicago,20
USER_0443,여,Chicago,41
USER_1365,여,Chicago,50
USER_0990,여,Chicago,40
USER_0985,남,Chicago,31
USER_0660,여,Chicago,40
USER_1242,여,California,37
USER_0765,여,Chicago,17
USER_0081,남,New York,28
USER_0875,남,Chicago,44
USER_0869,남,New York,11
USER_0537,여,California,34
USER_0795,여,Chicago,34
USER_0189,여,Chicago,40
USER_0874,여,California,21
USER_0888,남,New Jersey,23
USER_0933,여,California,9
USER_0104,여,Chicago,20
USER_0992,여,California,35
USER_0117,여,Chicago,9
USER_0779,여,New York,27
USER_0122,여,California,48
USER_0421,여,California,49
USER_1393,여,Chicago,7
USER_0502,남,Chicago,32
USER_0313,여,New York,49
USER_0234,남,Chicago,25
USER_0897,여,California,32
USER_1314,남,New York,3
USER_0327,여,Washington DC,35
USER_0068,남,California,3
USER_1250,여,California,14
USER_0938,남,New York,10
USER_1095,여,Chicago,47
USER_1452,여,New York,32
USER_0480,여,California,18
USER_0604,여,Chicago,31
USER_1038,여,New York,34
USER_1311,남,Chicago,2
USER_0133,남,California,32
USER_0206,남,Washington DC,10
USER_0877,여,Washington DC,24
USER_0101,여,California,25
USER_0876,남,Chicago,27
USER_1318,여,Chicago,48
USER_1189,여,New Jersey,19
USER_0667,여,Chicago,19
USER_0880,여,Washington DC,24
USER_0297,여,New York,22
USER_0866,여,New York,46
USER_0450,여,New York,7
USER_0735,남,California,12
USER_0634,여,Chicago,50
USER_0492,여,New York,15
USER_0035,여,New York,17
USER_1060,여,New York,40
USER_0670,남,California,17
USER_0734,여,New Jersey,19
USER_0590,여,Chicago,16
USER_1108,남,Chicago,40
USER_0625,여,California,34
USER_1431,남,New York,3
USER_1291,여,California,38
USER_0678,여,New York,6
USER_0424,여,New York,5
USER_1362,여,New Jersey,49
USER_0227,여,California,8
USER_0662,여,California,8
USER_1116,여,New York,10
USER_1200,남,Chicago,8
USER_1140,남,New York,25
USER_0529,여,Chicago,41
USER_1061,여,New Jersey,45
USER_0872,여,New York,45
USER_0578,여,California,30
USER_1053,여,New York,30
USER_1018,여,New York,34
USER_0896,여,California,25
USER_1315,남,Chicago,39
USER_1042,여,Chicago,40
USER_1152,여,Washington DC,31
USER_0748,여,California,32
USER_1187,여,California,10
USER_1089,남,California,20
USER_0187,남,California,39
USER_1178,남,Chicago,13
USER_0703,남,Chicago,33
USER_0503,남,New York,15
USER_1039,여,California,15
USER_1096,여,New York,41
USER_0931,여,California,20
USER_0290,남,Chicago,6
USER_0295,남,New York,25
USER_1270,여,New Jersey,46
USER_1185,여,Chicago,31
USER_1349,남,Chicago,20
USER_0458,여,New York,29
USER_0807,여,New Jersey,10
USER_1214,여,California,40
USER_1081,여,New York,45
USER_0153,여,New York,21
USER_1367,남,California,50
USER_0309,남,California,26
USER_0631,여,California,21
USER_0659,여,Chicago,35
USER_0396,여,Chicago,40
USER_1256,여,California,17
USER_1160,여,California,37
USER_1262,여,California,48
USER_1296,여,New York,6
USER_0819,남,California,22
USER_0094,남,Chicago,27
USER_0642,남,Chicago,46
USER_1331,남,New Jersey,49
USER_0914,남,Chicago,44
USER_1327,여,Chicago,28
USER_0658,여,California,22
USER_0597,남,New York,30
USER_0348,여,California,6
USER_0446,여,New York,13
USER_0266,여,Chicago,27
USER_0747,여,California,46
USER_1434,여,California,20
USER_1263,여,New Jersey,31
USER_0477,여,New Jersey,37
USER_0311,남,Chicago,14
USER_0778,여,New York,14
USER_0581,남,New York,9
USER_0292,여,California,22
USER_0948,여,California,9
USER_0655,남,Chicago,41
USER_0890,여,Chicago,26
USER_0661,여,New York,9
USER_1312,여,New York,17
USER_0352,여,New York,20
USER_1110,여,California,17
USER_0920,여,New York,47
USER_0356,남,Chicago,21
USER_0380,여,New York,40
USER_0233,여,California,8
USER_0865,여,California,18
USER_0699,여,California,41
USER_0001,남,New York,20
USER_0601,여,New York,27
USER_0964,남,Chicago,13
USER_1248,여,New York,48
USER_1078,여,Chicago,19
USER_0966,남,New York,13
USER_1127,여,Chicago,26
USER_1289,여,New York,25
USER_0139,여,California,45
USER_0361,여,Chicago,33
USER_0928,남,California,22
USER_0680,남,Chicago,24
USER_1428,여,Chicago,48
USER_0977,여,California,49
USER_1368,남,New Jersey,40
USER_0624,남,Chicago,41
USER_1097,여,Chicago,22
USER_0199,여,California,28
USER_0254,남,California,46
USER_0193,여,Chicago,10
USER_0102,남,Washington DC,36
USER_0815,여,California,4
USER_0010,남,California,38
USER_0618,여,Chicago,3
USER_1079,남,Washington DC,11
USER_0317,여,California,46
USER_0270,남,Chicago,2
USER_1423,남,Chicago,34
USER_0603,여,California,31
USER_1244,여,Chicago,3
USER_0839,여,California,7
USER_0399,남,California,30
USER_0370,여,New York,5
USER_0029,여,Chicago,39
USER_0239,남,California,47
USER_0408,남,New York,50
USER_1323,남,New Jersey,29
USER_0917,남,New York,14
USER_1012,여,California,47
USER_0648,여,New York,28
USER_1397,남,Chicago,6
USER_0926,남,California,43
USER_0218,여,Washington DC,37
USER_0893,남,Chicago,9
USER_1024,남,California,35
USER_1055,남,Chicago,5
USER_1106,여,New York,50
USER_0788,남,California,16
USER_1412,여,New York,18
USER_0904,남,California,19
USER_1328,여,Chicago,12
USER_1215,남,New Jersey,49
USER_1222,여,New York,13
USER_0415,남,Chicago,6
USER_0879,여,Chicago,37
USER_0950,여,New York,23
USER_0980,남,California,19
USER_0663,여,California,4
USER_1183,남,Chicago,25
USER_1416,남,Washington DC,4
USER_0214,남,New Jersey,44
USER_1021,남,Chicago,39
USER_0286,여,New York,38
USER_0459,여,New York,10
USER_1201,여,California,22
USER_0483,여,Washington DC,18
USER_1463,여,California,5
USER_1313,남,New York,15
USER_1047,남,New York,28
USER_1465,남,Chicago,25
USER_0124,여,Chicago,22
USER_0732,여,Chicago,2
USER_1448,여,California,31
USER_0301,여,Chicago,13
USER_0148,여,California,28
USER_0656,여,New York,30
USER_0802,여,California,18
USER_0825,남,California,32
USER_0326,여,California,34
USER_1375,여,California,37
USER_0256,남,Chicago,7
USER_0566,남,Chicago,13
USER_0633,여,Chicago,43
USER_0198,여,New York,45
USER_0215,여,Chicago,26
USER_0303,여,New Jersey,48
USER_0372,남,New York,35
USER_0222,남,New York,34
USER_0831,남,California,3
USER_1403,여,New Jersey,30
USER_0744,남,California,48
USER_1221,여,California,36
USER_0400,여,New York,34
USER_0898,여,Chicago,26
USER_0406,여,California,5
USER_0955,여,Chicago,37
USER_1032,여,New York,18
USER_1050,남,New York,7
USER_0902,남,New Jersey,10
USER_1306,여,New York,2
USER_1058,여,New York,42
USER_0470,남,New York,46
USER_0169,남,New York,9
USER_0679,여,California,45
USER_0512,여,New York,3
USER_0163,여,New Jersey,4
USER_0821,남,New Jersey,13
USER_1425,남,California,34
USER_0749,여,New Jersey,35
USER_0039,여,California,49
USER_0105,여,California,5
USER_0075,남,California,44
USER_1420,남,Chicago,24
USER_0096,남,Chicago,15
USER_0121,여,Chicago,37
USER_0373,여,Chicago,44
USER_0132,남,California,34
USER_0273,여,New York,24
USER_0044,여,California,28
USER_1360,남,Chicago,47
USER_1245,여,Chicago,16
USER_0646,남,New Jersey,35
USER_0024,여,New Jersey,43
USER_0654,여,California,3
USER_0493,여,New York,7
USER_1273,남,California,22
USER_0639,여,Washington DC,40
USER_0515,여,New Jersey,10
USER_0248,여,California,24
USER_0528,여,California,17
USER_0916,여,New York,41
USER_1251,여,Chicago,36
USER_1010,여,Washington DC,37
USER_0886,여,New York,13
USER_0700,여,New Jersey,20
USER_0864,남,Chicago,4
USER_0209,여,New York,10
USER_0453,남,Chicago,26
USER_1322,여,Chicago,28
USER_0725,여,Chicago,37
USER_0398,여,Chicago,13
USER_0728,남,California,50
USER_1399,여,Chicago,15
USER_1083,여,California,20
USER_1009,여,Chicago,45
USER_1350,여,Chicago,29
USER_0184,남,Chicago,29
USER_0956,남,Chicago,7
USER_1308,여,New York,34
USER_1305,남,New Jersey,13
USER_0082,남,Chicago,33
USER_0973,여,Chicago,31
USER_0149,남,New Jersey,20
USER_1220,여,California,21
USER_1457,여,California,36
USER_1004,여,Chicago,31
USER_1163,남,California,33
USER_0702,여,Chicago,37
USER_0516,남,New Jersey,19
USER_0726,남,California,10
USER_1029,남,California,50
USER_0757,남,California,9
USER_1253,남,California,34
USER_1388,여,New York,39
USER_0135,남,California,33
USER_1258,여,New Jersey,34
USER_1210,여,New York,17
USER_0851,여,Chicago,27
USER_0268,여,Chicago,14
USER_1321,여,New York,21
USER_0219,여,California,48
USER_0790,여,Chicago,24
USER_0073,여,New York,37
USER_0740,여,California,48
USER_0709,남,California,40
USER_0805,여,California,39
USER_0939,여,Chicago,22
USER_1112,여,California,16
USER_1285,여,California,23
USER_0592,여,Chicago,42
USER_0589,여,New York,50
USER_0245,남,California,30
USER_0397,여,New York,15
USER_1274,여,Chicago,28
USER_0849,남,Chicago,33
USER_1320,여,California,2
USER_1156,남,New York,46
USER_1353,남,California,32
USER_0958,남,California,38
USER_1370,남,California,12
USER_0177,남,New Jersey,32
USER_1342,여,Washington DC,34
USER_0111,여,California,28
USER_0509,남,New York,20
USER_0422,여,New York,31
USER_1379,남,New Jersey,7
USER_0834,여,Washington DC,4
USER_1041,여,Chicago,46
USER_0409,남,California,24
USER_0472,여,Chicago,7
USER_0547,남,Chicago,11
USER_0915,여,New York,20
USER_1432,여,Chicago,38
USER_0905,여,California,34
USER_1445,여,New York,33
USER_1418,여,Chicago,47
USER_0226,남,New York,16
USER_0174,여,California,5
USER_0430,남,Chicago,11
USER_0871,남,New York,34
USER_0129,여,New Jersey,36
USER_1064,여,California,11
USER_0784,남,Chicago,22
USER_0357,여,New Jersey,35
USER_1366,남,Chicago,12
USER_1186,여,New York,19
USER_1026,여,Chicago,2
USER_1098,남,California,6
USER_0418,여,California,18
USER_0698,여,Chicago,19
USER_1407,여,Chicago,16
USER_0519,여,California,42
USER_0780,여,New York,45
USER_1198,남,California,46
USER_1117,여,New York,23
USER_0442,여,California,13
USER_1167,여,Chicago,32
USER_0715,여,Chicago,28
USER_0557,남,California,36
USER_0119,여,New York,13
USER_1194,여,California,28
USER_1232,여,New York,4
USER_0978,남,California,20
USER_0150,여,New Jersey,24
USER_1381,여,California,40
USER_0901,남,California,5
USER_1158,여,California,19
USER_0330,여,Chicago,15
USER_0584,여,Chicago,4
USER_1176,남,Chicago,8
USER_0793,남,New York,40
USER_0899,여,New York,16
USER_0506,여,Chicago,34
USER_1404,여,Chicago,30
USER_0395,남,California,38
USER_1044,여,Chicago,31
USER_0769,남,Chicago,39
USER_0668,여,California,31
USER_1386,남,New York,38
USER_0564,여,California,48
USER_1297,여,Chicago,17
USER_0536,여,California,8
USER_1410,남,New Jersey,46
USER_0238,남,California,50
USER_0057,여,Chicago,25
USER_0244,여,New York,50
USER_0750,남,New York,2
USER_0827,남,California,16
USER_0478,여,New York,17
USER_0241,여,California,18
USER_0402,여,Chicago,48
USER_0533,여,Chicago,25
USER_0863,남,New York,44
USER_1051,여,Washington DC,14
USER_1119,여,Chicago,45
USER_1402,여,New York,20
USER_0548,남,California,6
USER_1219,여,New Jersey,40
USER_1192,여,California,5
USER_1344,여,Chicago,14
USER_0553,여,California,39
USER_1063,여,California,19
USER_1208,여,Chicago,39
USER_0570,남,Chicago,46
USER_1295,남,New York,26
USER_1173,여,New Jersey,31
USER_1271,여,California,4
USER_0036,남,Chicago,14
USER_1207,남,Chicago,16
USER_1374,여,Chicago,27
USER_1234,남,New Jersey,21
USER_1231,남,New Jersey,24
USER_1396,여,California,11
USER_0691,여,Chicago,29
USER_0242,여,Chicago,33
USER_0843,여,Chicago,24
USER_0540,여,New Jersey,48
USER_0267,여,Chicago,24
USER_0360,여,New Jersey,40
USER_0392,여,Chicago,9
USER_0181,여,Chicago,48
USER_0454,여,Chicago,24
USER_0943,여,New York,44
USER_0994,여,New York,46
USER_1422,여,New York,12
USER_0774,여,Chicago,23
USER_1028,남,New York,15
USER_0539,여,New York,15
USER_1437,남,California,28
USER_0027,여,Chicago,32
USER_1085,여,New York,12
USER_0649,남,Washington DC,34
USER_1146,여,New York,15
USER_0997,남,Chicago,12
USER_0918,남,California,21
USER_0957,남,California,11
USER_1179,여,New Jersey,19
USER_0416,남,New York,39
USER_0635,남,California,27
USER_0235,여,California,9
USER_1413,여,California,9
USER_1086,여,New York,40
USER_0942,남,Chicago,19
USER_0006,여,New York,21
USER_0482,남,Chicago,41
USER_1172,남,California,17
USER_0508,남,New Jersey,47
USER_1109,여,Chicago,36
USER_1013,남,New Jersey,28
USER_1243,여,New Jersey,11
USER_1023,여,New York,19
USER_1084,여,Chicago,15
USER_1006,여,Chicago,29
USER_1332,여,California,7
USER_0247,남,California,19
USER_0136,남,New Jersey,15
USER_0207,남,California,33
USER_0146,남,Chicago,32
USER_0759,남,California,50
USER_0371,여,New Jersey,4
USER_0501,여,California,20
USER_0934,여,California,9
USER_1300,여,New York,11
USER_0440,남,Chicago,48
USER_0296,여,New York,21
USER_0320,여,New York,5
USER_1128,여,California,6
USER_1257,남,New Jersey,15
USER_1255,여,Chicago,24
USER_1191,남,California,29
USER_0145,남,New Jersey,34
USER_0887,남,Chicago,44
USER_0782,여,California,42
USER_1272,남,New York,11
USER_0287,여,California,33
USER_0510,여,California,13
USER_0900,여,California,10
USER_0204,여,Washington DC,2
USER_0283,남,Chicago,38
USER_0684,여,New York,40
USER_1144,남,California,47
USER_0243,여,New York,35
USER_0452,여,California,12
USER_1319,여,New Jersey,11
USER_0854,여,Chicago,4
USER_0930,여,New York,5
USER_1278,남,Chicago,32
USER_1414,여,California,48
USER_0644,남,Washington DC,4
USER_0088,남,California,13
USER_0817,여,Chicago,6
USER_0217,남,New York,4
USER_1184,여,California,28
USER_0770,남,California,28
USER_0676,여,California,22
USER_0158,여,Chicago,21
USER_0835,여,Chicago,40
USER_1400,남,New York,47
USER_0729,여,New York,3
USER_1335,여,California,38
USER_0812,남,Washington DC,19
USER_0064,여,New Jersey,10
USER_1147,여,Washington DC,29
USER_0366,여,New York,38
USER_1301,여,Chicago,17
USER_0253,여,Washington DC,12
USER_1352,여,Chicago,35
USER_0823,남,New York,10
USER_1177,여,New York,42
USER_1264,여,Chicago,7
USER_1034,여,California,31
USER_0265,여,Chicago,17
USER_0383,여,New York,31
USER_1136,여,California,18
USER_0720,여,California,2
USER_1134,여,New York,13
USER_0775,여,New York,18
USER_0910,여,California,15
USER_0628,여,California,50
USER_1045,여,Chicago,48
USER_1131,여,Chicago,5
USER_1052,여,California,18
USER_0998,여,New York,13
USER_0507,여,New Jersey,7
USER_0797,여,Chicago,41
USER_0173,남,California,23
USER_1069,남,New York,16
USER_0636,남,New York,12
USER_1067,여,California,9
USER_1170,남,California,5
USER_0151,여,New Jersey,23
USER_0760,여,New Jersey,38
USER_0567,여,New Jersey,41
USER_0756,여,California,10
USER_0485,여,New Jersey,49
USER_1205,남,California,3
USER_0591,남,New York,45
USER_0690,여,New Jersey,43
USER_1334,여,New York,42
USER_0968,여,Chicago,44
USER_0813,남,Chicago,48
USER_0846,여,Chicago,28
USER_1025,남,California,49
USER_0304,여,California,20
USER_1286,남,Chicago,30
USER_0612,남,Chicago,40
USER_0841,남,Washington DC,26
USER_0495,여,Chicago,40
USER_1444,남,New York,19
USER_0753,남,California,37
USER_0598,남,Chicago,46
USER_0960,남,New York,24
USER_1453,남,Washington DC,44
USER_0789,여,California,23
USER_1088,여,Chicago,31
USER_1048,남,California,43
USER_0490,남,California,41
USER_1124,여,Chicago,9
USER_0571,여,Washington DC,4
USER_0704,여,Chicago,45
USER_0460,여,California,19
USER_0379,여,California,39
USER_1464,남,New York,43
USER_1356,남,Chicago,25
USER_1239,남,Chicago,6
USER_0002,남,California,39
USER_0653,여,New York,4
USER_0180,여,California,37
USER_0552,남,Chicago,40
USER_0160,여,New York,44
USER_0323,여,Chicago,49
USER_0058,남,Chicago,41
USER_0128,여,Chicago,19
USER_0608,여,Chicago,26
USER_0844,남,California,19
USER_0019,여,California,37
USER_1213,여,New York,10
USER_1054,여,Chicago,34
USER_0108,남,Chicago,25
USER_0707,남,New Jersey,29
USER_1372,남,New York,37
USER_1137,여,Chicago,3
USER_0692,여,Chicago,30
USER_0405,남,California,41
USER_0188,남,California,50
USER_0098,여,California,7
USER_0376,여,New Jersey,6
USER_0439,남,California,29
USER_0100,여,New Jersey,45
USER_1102,남,New York,27
USER_1380,여,New York,29
USER_0089,여,California,32
USER_0527,여,Washington DC,10
USER_1226,여,Chicago,6
USER_1049,남,New York,31
USER_1460,여,Washington DC,5
USER_1223,남,New York,32
USER_1462,남,California,45
USER_0936,남,Chicago,29
USER_0008,여,California,27
USER_0572,남,California,45
USER_0164,여,California,43
USER_0737,여,Chicago,47
USER_0428,남,New York,32
USER_0431,남,Chicago,23
USER_0210,여,New York,20
USER_1181,여,Chicago,29
USER_0185,여,New York,15
USER_1299,남,California,25
USER_1159,여,New Jersey,23
USER_0433,남,California,8
USER_0787,여,New York,21
USER_1427,여,New York,6
USER_0771,여,New York,4
USER_0665,남,New York,2
USER_0022,남,New York,9
USER_0093,남,New York,27
USER_0708,남,Chicago,16
USER_1209,여,California,9
USER_0599,여,New Jersey,21
USER_0186,여,New York,35
USER_0959,여,Chicago,37
USER_0291,남,Washington DC,6
USER_0050,여,New York,28
USER_1241,여,California,45
USER_1290,여,New York,22
USER_0393,여,Chicago,16
USER_0543,여,Chicago,30
USER_0112,여,California,27
USER_0647,여,California,18
USER_1196,여,California,28
USER_0542,여,Chicago,44
USER_0009,남,New York,32
USER_0796,여,New York,26
USER_0803,남,Chicago,6
USER_0388,여,New Jersey,11
USER_0363,남,California,14
USER_0067,여,New Jersey,4
USER_0231,여,Chicago,31
USER_0260,남,California,12
USER_0264,남,California,42
USER_1099,여,California,3
USER_0963,여,California,20
USER_0168,여,Chicago,44
USER_0524,여,Chicago,42
USER_0278,남,California,40
USER_0332,남,Washington DC,34
USER_0040,여,New York,39
USER_0693,남,New York,28
USER_1259,여,Chicago,47
USER_0596,여,New York,33
USER_0461,여,New York,39
USER_0551,여,California,25
USER_0250,남,Chicago,38
USER_1238,여,New York,2
USER_0065,여,Chicago,8
USER_0861,남,New York,6
USER_0925,여,Chicago,16
USER_0324,여,New York,22
USER_1033,남,Chicago,32
USER_0822,여,California,24
USER_1014,여,New York,7
USER_0723,여,Chicago,22
USER_0573,남,California,2
USER_1077,남,Chicago,39
USER_1288,여,California,26
USER_0669,여,New Jersey,4
USER_0201,남,Chicago,45
USER_0772,여,Chicago,40
USER_1455,여,New Jersey,40
USER_1417,여,California,25
USER_0018,남,Chicago,29
USER_0048,여,Chicago,36
USER_1230,남,Chicago,8
USER_0474,여,California,31
USER_0833,여,Chicago,16
USER_0272,남,California,43
USER_1302,여,Chicago,32
USER_1046,여,New York,4
USER_0993,남,New Jersey,29
USER_1467,여,New Jersey,36
USER_0113,남,Washington DC,5
USER_0350,남,New York,14
USER_0328,남,Chicago,44
USER_0016,여,New Jersey,15
USER_0486,남,Chicago,27
USER_0257,여,California,43
USER_0862,남,Chicago,22
USER_0921,여,Chicago,16
USER_0237,여,Chicago,50
USER_1027,여,California,20
USER_0626,여,New York,25
USER_0055,남,California,29
USER_1019,여,California,10
USER_1103,여,Chicago,23
USER_0999,여,Chicago,36
USER_0346,남,New York,20
USER_0046,남,Chicago,8
USER_0810,여,Chicago,40
USER_0688,남,New Jersey,16
USER_0042,남,California,2
USER_1324,여,Chicago,4
USER_1449,여,Chicago,29
USER_0041,남,California,44
USER_1446,여,New York,6
USER_1203,여,New York,38
USER_0246,남,Chicago,30
